token,freq
و,710
في,652
من,544
ب,536
ل,442
ه,309
أن,293
ها,275
على,213
إلى,198
عام,129
كان,113
التي,100
هم,98
ما,86
مع,85
عن,76
خلال,73
ذلك,71
هذا,69
كانت,67
الذي,65
لكن,65
بعد,62
س,62
لا,61
لم,57
بين,54
ك,53
قد,52
قبل,52
غير,46
كل,45
هذه,44
يمكن,43
أيضاً,39
أكثر,39
إن,37
هو,37
أو,35
نا,33
يكون,31
هناك,30
ف,30
مثل,30
الأول,30
عندما,29
شكلٍ,27
حيث,27
حتى,27
علي,26
الخاصة,26
هي,25
الذين,24
الوقت,24
اسم,22
نحو,22
العديد,21
قال,21
أحد,21
كما,21
المتحدة,20
كبيرة,20
ذات,20
آخر,20
القرن,20
هما,19
البحر,19
يوم,19
الأمر,19
بعض,18
عند,17
تشرين,17
إذا,17
لدي,17
تكون,17
الثاني,17
أجل,17
الحرب,17
العام,16
النسبة,16
ـ,16
سبب,16
شركة,16
العالم,16
شأن,16
دون,15
تلك,15
الصين,15
منذ,15
منطقة,15
وضع,15
أي,15
الكثير,15
فقط,15
الأولى,15
المنطقة,14
أول,14
نهاية,14
سي,14
إحدى,14
عمل,14
؟,14
يكن,13
تم,13
أخرى,13
كانوا,13
عدة,13
جنوب,13
المدينة,13
ي,13
العمل,12
بي,12
جداً,12
شكل,12
حول,12
عشر,12
فترة,12
نفس,12
كبير,12
استخدام,12
الجديدة,12
أكبر,12
م,11
الدول,11
مدينة,11
الجزء,11
الناس,11
تقريباً,11
مرة,11
حلول,11
جديدة,11
جنيه,11
مجلس,11
ترامب,11
الآن,11
بدأت,11
أفضل,11
البريطانية,11
إسترليني,11
تحت,11
قالت,11
كانون,11
كبيراً,10
المتوسط,10
يقول,10
بدأ,10
الحكومة,10
الثالث,10
فيلم,10
ليس,10
الولايات,10
ضد,10
الأراضي,9
عادةً,9
نظام,9
الرغم,9
الأمريكية,9
بات,9
وجود,9
الإنترنت,9
رئيس,9
التالي,9
الجيش,9
عبر,9
الشمالية,9
دولار,9
نيسان,9
نهر,8
يعمل,8
تحقيق,8
تظهر,8
دي,8
أصبح,8
عاماً,8
الميلاد,8
ثم,8
إنتاج,8
حماية,8
الفعل,8
بطولة,8
تاريخ,8
فيما,8
أمام,8
الاتحاد,8
زيادة,8
الخاص,8
وسع,8
ثلاث,8
حكم,8
حيات,8
برنامج,8
منع,8
تقول,8
مما,8
وقتٍ,8
ثمة,8
مليون,8
تكن,8
المطاف,8
الكبير,8
سنوات,8
سلالة,8
الأرض,8
فرنسا,8
المحيط,8
الوطني,8
العظمى,8
مجال,7
جزيرة,7
الإمبراطورية,7
جانب,7
الشركة,7
فعل,7
الجزر,7
الجمهور,7
المزيد,7
وفقاً,7
خاصة,7
مجدداً,7
الملكية,7
إلي,7
نسبة,7
حدث,7
الأسبوع,7
النمو,7
ظهرت,7
الفيلم,7
إنشاء,7
أدى,7
النظام,7
الأخيرة,7
الماضي,7
الأكثر,7
الجنوبية,7
ترك,7
شرطة,7
يعود,7
المناطق,7
الشركات,7
تضم,7
بريطانيا,7
تشكل,7
القديمة,7
يورو,7
مرات,7
لن,7
الأمريكي,7
اليوم,7
أفريقيا,7
الشرطة,7
روسيا,7
شمال,7
أولئك,7
العصر,7
الكبيرة,7
بدءاً,7
الإمبراطور,7
الانتقال,7
هونغ,7
معاهدة,6
الثورة,6
التقى,6
حرب,6
شرق,6
بدلاً,6
حزب,6
إلا,6
القانون,6
جزر,6
أقل,6
الأقل,6
سكان,6
الدولية,6
الخامس,6
صغيرة,6
الكاريبي,6
الملك,6
النظر,6
فوق,6
الحدود,6
باريس,6
مدى,6
أستراليا,6
عرض,6
كلينتون,6
الوسطى,6
ألبانيا,6
يظهر,6
عدد,6
بكين,6
الذكور,6
أوروبا,6
التجارة,6
إيطاليا,6
قوة,6
العشرين,6
كنت,6
جوزيف,6
أنا,6
كي,6
يبدو,6
هنا,6
جعل,6
التاريخ,6
السنوات,6
ق,6
الشتاء,6
قرر,6
تبدأ,6
أمريكا,6
سمك,6
أراضي,6
كونغ,6
شبه,6
ناحية,6
اليونان,6
قيادة,6
الخارجية,6
المدرسة,6
لو,6
عشرة,6
حدٍ,6
تعد,6
أشهر,6
بداية,6
معدل,6
معظم,6
جراء,6
الكبرى,6
ولاية,6
كتب,6
الإضافة,6
نقل,6
يزال,5
الكربون,5
تموز,5
العصور,5
الجزيرة,5
بل,5
الإسبانية,5
تمثل,5
قدر,5
الناحية,5
باتت,5
مجموعات,5
النساء,5
الرابع,5
الحزب,5
المياه,5
اللغة,5
العالمية,5
شركات,5
داخل,5
الناتج,5
الجديد,5
يمر,5
انتخابات,5
آسيا,5
عاد,5
نتيجة,5
أيلول,5
مواقع,5
درجة,5
هل,5
حزيران,5
موقع,5
مليار,5
الأساس,5
أربعة,5
كيفية,5
السابق,5
يعتقد,5
القوى,5
الاجتماعية,5
ديزني,5
الأوروبية,5
الانتخابات,5
الأطفال,5
مقابلة,5
الثامن,5
البيانات,5
ترتفع,5
جوائز,5
تبلغ,5
خارج,5
ألبوم,5
جريدة,5
الثانية,5
التحقيق,5
العليا,5
الأحوال,5
الحروب,5
العقارات,5
التحكم,5
تتضمن,5
دور,5
الطيران,5
زوجت,5
مجرد,5
إس,5
جبال,5
حين,5
الخروج,5
وجه,5
مجموعة,5
طرحت,5
الرائع,5
المملكة,5
الشمال,5
تستخدم,5
نجاحاً,5
أفلام,5
إخراج,5
وسائل,5
أيام,5
شارك,5
إسبانيا,5
لعب,5
تشينغ,5
الزراعية,5
الصيف,5
ظل,5
جديداً,5
أرض,5
ظهر,5
ارتفاع,5
بحر,5
جميع,5
حديقة,5
سان,5
