token,freq
，,6150
的,4501
。,3960
在,1351
年,1225
、,1010
是,965
為,930
一,911
於,719
和,674
了,645
個,498
人,490
有,483
月,476
他,462
）,444
（,444
中,392
與,391
日,367
被,334
」,333
「,332
這,317
會,281
並,268
以,264
而,261
也,254
上,242
中國,229
》,224
《,224
由,222
兩,218
之,218
後,213
時,201
位,198
及,193
·,191
等,184
到,181
但,173
大,170
不,168
其,164
對,163
所,159
此,158
種,154
或,147
將,146
美國,144
次,141
成,137
她,135
者,133
至,131
該,128
三,123
區,122
開始,121
都,120
可以,120
家,120
部,119
來,119
人口,116
因,115
市,115
軍,113
國,113
省,108
從,106
使用,106
用,104
名,104
著,102
地,100
則,100
多,100
第一,99
曾,98
日本,97
他們,97
沒有,97
性,95
公司,95
州,94
大學,93
政府,93
新,93
就,92
稱,92
地區,91
國家,91
已,91
由於,91
其中,90
：,86
可,86
自,86
；,85
世界,85
下,84
小,84
香港,84
主要,84
因為,83
不同,82
最,81
自己,81
縣,81
還,80
面積,80
前,79
總,79
研究,78
向,78
進行,76
王,75
李,74
它,74
部分,72
包括,72
站,72
號,72
當時,72
四,71
也是,70
認為,69
這些,69
米,69
村,68
說,68
工作,67
發現,67
以及,67
平方公里,66
學,66
又,66
屬,66
中華,64
作,64
要,63
代表,63
條,62
學院,62
能,62
人民,61
同時,61
之後,61
第二,60
發展,60
五,60
世紀,60
成立,60
美,60
社會,60
亦,60
發生,59
二,59
使,59
約,59
一些,59
更,58
內,58
元,58
其他,57
獲得,57
英國,57
為了,56
場,55
線,55
過,55
把,55
只,54
建築,54
目前,54
可能,54
張,53
許多,53
重要,53
音樂,52
局,52
文化,52
遊戲,52
黨,51
台,51
公里,51
中心,51
歷史,51
隊,50
期間,50
歲,50
但是,50
共,50
之間,50
處,50
如,50
帝國,49
根據,49
一般,49
電影,49
年代,49
城市,49
指,49
英,48
機,48
最後,48
所有,48
政治,47
行星,47
語,47
通過,47
組織,46
讓,46
鐵路,46
故事,46
科學,46
已經,45
任,45
電視,45
作品,45
便,45
學校,45
時間,44
當,44
提供,44
共和,44
表示,44
後來,43
比,43
關係,43
間,43
建立,43
出現,42
通常,42
戰爭,42
就是,42
設計,41
地方,41
高,41
長,41
座,41
要求,41
鎮,41
管理,41
山,41
參加,40
河,40
時期,40
國際,40
負責,40
保護,40
系統,40
成功,40
影響,40
技術,40
台灣,40
層,40
動物,40
德國,39
正式,39
車站,39
方面,39
運動,39
單位,39
館,39
劉,39
最終,39
出,38
卻,38
父親,38
生活,38
上海,38
路,38
很,37
各,37
一直,37
委員,37
人物,37
即,37
方,37
法國,37
服務,37
分,37
書,37
再,37
才,36
決定,36
行政,36
女,36
節目,36
現在,36
人類,36
給,36
擔任,36
均,35
全國,35
漢,35
航空,35
雖然,35
第三,35
教,35
民國,35
不是,35
理論,35
足球,35
段,35
文,35
教育,35
我,35
八,35
歐洲,35
得到,34
問題,34
需要,34
主義,34
小說,34
員,34
很多,33
北,33
生,33
西班牙,33
製作,33
學生,33
擁有,33
寺,33
活動,33
最高,32
時代,32
起,32
進入,32
印度,32
市鎮,32
街,32
仍,32
器,32
方式,32
形成,32
東,32
中央,32
屆,32
具有,32
另,31
球隊,31
經濟,31
非常,31
如果,31
去,31
計劃,31
雙,31
島,31
式,31
得,31
隨,31
同,31
方法,30
另外,30
大陸,30
北京,30
比賽,30
每,30
港,30
羅馬,30
天,30
公園,30
產生,30
控制,30
受到,29
派,29
級,29
院,29
機場,29
當地,29
接受,29
道,29
工程,29
獨立,29
然而,29
它們,28
並且,28
超過,28
都是,28
情況,28
法,28
總統,28
物,28
國民,28
電腦,28
義大利,28
生物,28
存在,28
時候,28
戰鬥,27
數,27
做,27
城,27
經過,27
聯合,27
對於,27
事件,27
項,27
演出,27
非,27
林,27
人員,27
點,27
室,27
幾,27
權,27
不過,26
距離,26
裡,26
本,26
直接,26
冠軍,26
原因,26
成員,26
海拔,26
賽,26
兒子,26
甚至,26
巴士,26
皇帝,26
議會,26
支持,26
同年,25
唯一,25
湖,25
生產,25
例如,25
出版,25
最大,25
我們,25
語言,25
高度,25
大量,25
未,25
單,25
鄉,25
南,25
軍事,25
主,25
系列,25
銀行,24
西,24
水,24
業,24
海,24
反對,24
舉行,24
加入,24
廣泛,24
達,24
交通,24
導致,24
們,24
分布,24
科,24
部隊,24
必須,24
行為,24
宣布,24
族,24
正,24
化,24
於是,24
內容,24
量,23
全,23
地下,23
無,23
經常,23
集團,23
帶,23
型,23
清朝,23
此外,23
無法,23
多數,23
六,23
受,23
聯賽,23
參與,23
附近,23
命名,23
聯盟,23
整個,23
組成,23
文物,23
除,23
製造,23
紐約,22
結束,22
華,22
有些,22
工業,22
不少,22
版,22
選舉,22
里,22
只有,22
傳統,22
母親,22
灣,22
一樣,22
出生,22
分別,22
思想,22
自治,22
植物,22
設,22
議員,22
球,22
紀念,22
細胞,22
獲,22
有關,22
府,22
副,22
海軍,22
力,22
地位,22
一起,22
僅,22
結構,22
古,22
文學,22
增加,22
能力,22
自由,22
率,22
會議,22
清,21
分子,21
環境,21
制,21
類型,21
引起,21
洋,21
仍然,21
能夠,21
列車,21
廣場,21
進,21
猶太,21
結果,21
機構,21
重新,21
出任,21
作用,21
體,21
城鎮,21
原,21
韓,21
東北,21
主席,21
管轄,21
採用,21
角,21
繼續,21
角色,21
逐漸,21
民族,21
字,21
身體,20
汽車,20
風格,20
代,20
巴黎,20
比較,20
特別,20
胡,20
功能,20
現代,20
希臘,20
核,20
不久,20
範圍,20
達到,20
不能,20
攻擊,20
度,20
朝鮮,20
原子,20
不會,20
期,20
以上,20
天津,20
半,20
軍隊,19
每年,19
合併,19
艦隊,19
領導,19
唐,19
曲,19
歐,19
法律,19
法院,19
表現,19
天文,19
民主,19
藝術,19
趙,19
陳,19
佔領,19
取得,19
令,19
最早,19
體育,19
那,19
先後,19
所以,19
鄭,19
台北,19
部份,19
造成,19
加拿大,18
外交,18
治療,18
心理,18
子,18
資料,18
步,18
商,18
廣州,18
西北,18
想,18
類,18
