token,freq
the,471677
of,252280
and,190283
to,187638
in,142717
a,130770
is,109683
that,78777
as,67159
nn,59697
be,57726
for,56120
this,53939
it,50845
are,42010
with,41129
by,39122
on,37508
was,36432
jj,31050
not,30622
which,28878
s,28802
from,28701
an,27837
have,25367
can,22741
or,22651
at,22461
has,19964
their,19071
they,18363
will,17851
were,17742
more,17498
also,16644
there,16516
but,15145
would,14670
one,13709
these,13239
we,13041
been,12910
all,12434
such,12403
his,12370
however,12236
its,11932
other,11830
formula,11416
if,11308
i,11198
between,11158
when,11156
may,11071
he,10970
than,10962
only,10391
so,10267
had,9456
no,9433
into,9260
could,9181
time,9088
used,9051
np,8259
some,8216
two,8138
new,7928
therefore,7821
should,7762
different,7668
use,7506
then,7427
most,7351
what,7329
who,7282
being,7279
both,7140
her,7064
them,6982
where,6971
many,6966
people,6872
because,6866
through,6855
social,6798
system,6633
how,6593
about,6586
out,6462
each,6461
order,6406
any,6382
within,6142
first,6111
very,5927
over,5737
women,5520
way,5483
world,5479
important,5432
due,5424
using,5368
example,5343
up,5306
do,5302
work,5022
same,4962
well,4918
does,4903
p.,4872
must,4858
she,4789
power,4782
even,4743
found,4714
state,4684
high,4651
after,4636
number,4615
data,4612
although,4578
market,4569
case,4553
made,4550
results,4507
process,4483
those,4483
thus,4479
see,4391
theory,4363
value,4302
much,4270
since,4200
development,4189
our,4154
model,4093
during,4056
form,4043
law,4029
possible,4020
seen,4006
group,3993
information,3984
society,3936
research,3896
analysis,3891
part,3884
need,3879
level,3879
make,3847
political,3838
control,3806
economic,3754
human,3738
another,3704
further,3692
life,3692
change,3652
et,3631
e.,3618
increase,3614
al,3603
like,3580
fact,3578
given,3548
us,3540
result,3502
figure/,3500
still,3476
often,3437
while,3429
good,3426
language,3422
point,3396
own,3386
evidence,3349
three,3341
my,3336
before,3333
less,3332
states,3322
rate,3312
study,3286
under,3264
years,3244
based,3241
rather,3173
company,3147
nature,3140
set,3137
able,3129
international,3125
figure,3120
whether,3105
means,3099
individual,3070
method,3058
values,3057
did,3049
you,3048
history,3047
business,3030
role,3025
management,3023
effect,2997
large,2963
without,2949
against,2942
take,2936
problem,2906
higher,2898
main,2897
project,2893
product,2890
countries,2866
shows,2854
just,2847
following,2843
now,2835
terms,2821
present,2817
structure,2815
t,2806
government,2805
shown,2791
above,2787
food,2782
factors,2739
approach,2699
production,2698
problems,2676
significant,2662
right,2653
period,2634
place,2623
health,2623
provide,2614
small,2608
table/,2590
water,2579
general,2575
knowledge,2571
growth,2546
taken,2537
similar,2525
cannot,2523
certain,2510
upon,2495
