token,freq
i,435613
it,354259
you,311450
the,297665
's,292876
and,275495
yeah,260026
that,230781
a,215469
to,200208
n't,177444
like,157425
do,136243
of,132086
was,129797
they,125692
in,113358
so,104061
but,103439
is,103017
he,97382
oh,96602
no,93546
we,91480
know,87330
just,85491
mm,82442
have,81070
--unclearword,77030
what,74210
there,72108
well,71469
on,68533
she,68105
not,62732
're,57974
for,57887
be,57788
erm,56570
've,56056
got,54606
think,54503
er,52008
did,51406
then,50470
this,49159
one,48601
really,48492
if,47277
all,43815
with,43301
'm,42890
cos,42788
or,41595
get,41499
my,41441
are,41093
at,40525
go,38996
can,37781
--anonnamem,36783
when,33814
about,33077
up,32912
me,32775
would,32527
'll,32401
right,32354
had,32153
as,31454
--anonnamef,31245
your,31047
were,30931
them,30552
out,29355
yes,28562
na,28079
said,26915
good,26174
--anonplace,24914
because,24893
'd,24188
mean,23154
how,23109
people,23010
okay,22261
could,22247
going,22227
does,22057
bit,21825
now,21753
her,21401
gon,21297
some,21050
see,20297
from,19652
something,19341
time,19086
ca,19018
been,18568
very,18337
want,18064
say,17881
thing,17691
where,17598
actually,17525
quite,17455
an,17377
two,17032
him,16351
back,16220
more,16175
who,15675
put,15395
why,15204
his,15035
sort,14841
which,14496
went,13846
nice,13804
look,13394
need,13357
come,13123
down,13099
off,12966
much,12949
here,12884
doing,12805
other,12685
things,12637
only,12628
kind,11963
thought,11946
has,11911
probably,11595
lot,11485
way,11288
stuff,11277
though,11249
little,11183
any,10823
ah,10649
should,10552
still,10417
will,10415
even,10396
um,10381
might,10310
these,10139
day,10133
used,9835
three,9819
never,9816
work,9786
take,9747
their,9434
over,9365
make,9195
into,9175
always,9034
done,8771
by,8770
maybe,8533
remember,8515
than,8467
anything,8388
big,8165
too,8124
those,7989
year,7906
us,7809
first,7802
before,7771
last,7665
saying,7538
mum,7247
same,7042
god,6963
our,6759
different,6718
again,6711
wan,6694
alright,6666
long,6666
money,6659
let,6653
anyway,6596
years,6572
sure,6372
four,6363
getting,6303
through,6297
n,6183
dad,6183
being,6169
five,6076
house,5959
next,5845
round,5779
another,5777
week,5767
tell,5715
after,5677
obviously,5591
fine,5580
give,5561
sorry,5539
everything,5468
new,5466
bad,5421
around,5400
s-,5371
having,5330
every,5276
feel,5210
night,5160
came,5121
home,5114
find,5101
half,5094
wo,5071
many,5060
else,5045
old,5037
end,4966
away,4965
someone,4916
du,4892
better,4882
must,4862
love,4808
whatever,4801
ten,4782
hundred,4774
made,4771
also,4744
ones,4725
use,4696
six,4665
exactly,4654
talking,4608
coming,4593
called,4586
pretty,4556
enough,4546
uh,4533
course,4487
gone,4481
school,4473
seen,4433
thinking,4392
car,4371
keep,4365
looking,4355
ever,4329
point,4319
whole,4301
goes,4234
trying,4136
few,4122
place,4120
try,4109
funny,4075
start,4073
eat,4068
