token,freq
the,69958
of,36409
and,28848
to,26147
a,23205
in,21336
that,10785
is,10201
was,9969
he,9796
for,9488
it,9077
with,7289
as,7250
his,6996
on,6747
be,6376
's,5865
i,5829
at,5377
by,5306
had,5229
this,5147
not,4864
are,4430
but,4380
from,4369
or,4207
have,3980
they,3761
an,3738
you,3625
which,3561
one,3361
were,3306
mdash,3271
her,3037
all,2999
she,2983
would,2844
we,2842
there,2841
their,2671
him,2619
been,2473
has,2459
when,2330
who,2280
will,2244
more,2223
if,2199
no,2137
n't,2098
out,2096
can,2030
so,1989
what,1962
said,1961
up,1895
its,1858
do,1847
about,1815
them,1791
into,1791
than,1790
could,1774
only,1747
other,1710
new,1635
some,1617
time,1601
these,1573
did,1445
two,1412
may,1399
then,1377
first,1361
any,1345
man,1332
my,1319
now,1313
such,1303
like,1290
our,1251
over,1236
me,1182
even,1171
most,1159
made,1125
after,1070
also,1069
formula,1067
many,1030
must,1020
before,1016
through,969
back,966
years,958
where,949
much,937
your,923
should,910
way,908
well,899
down,895
because,883
each,877
just,872
people,864
those,850
how,845
state,845
too,832
little,831
mr.,824
world,822
good,807
very,796
make,793
still,782
men,781
own,771
see,771
work,760
here,760
long,756
get,749
both,730
between,730
hellip,723
life,721
being,711
under,707
year,703
day,700
never,698
another,689
same,686
know,681
while,680
us,678
last,676
might,672
great,666
old,660
off,640
come,630
since,628
go,626
against,626
came,622
states,613
right,612
take,611
used,611
three,610
himself,603
few,601
house,593
use,589
during,585
without,583
again,577
does,572
place,571
american,570
around,561
however,552
home,548
small,542
found,536
mrs.,529
thought,516
went,507
say,504
general,501
once,499
part,499
high,499
school,495
upon,495
every,491
got,487
united,481
left,480
number,472
war,467
course,465
until,461
always,458
away,456
something,450
let,450
fact,447
water,446
public,443
'll,442
though,441
less,438
put,437
think,433
almost,432
government,432
hand,431
enough,430
far,428
took,425
night,424
head,424
yet,419
system,418
set,415
better,414
told,413
city,413
nothing,412
president,410
end,409
called,401
why,401
'd,401
eyes,401
going,399
find,399
asked,398
look,398
later,397
knew,395
point,395
program,395
next,394
business,393
group,391
give,390
young,388
toward,386
days,386
john,384
room,384
side,382
social,380
children,378
given,377
several,377
present,377
order,376
national,374
second,374
possible,373
rather,373
per,371
face,370
form,370
among,370
white,369
important,369
things,368
often,368
looked,367
early,366
case,362
large,361
become,361
big,360
need,360
within,359
four,358
felt,357
along,355
church,355
god,354
saw,352
best,352
ever,344
power,343
least,343
country,339
family,337
development,334
thing,333
light,333
seemed,332
mind,331
interest,330
want,329
members,327
others,325
area,324
today,324
done,320
turned,320
although,319
open,319
company,317
service,315
kind,314
problem,313
door,312
thus,312
different,312
certain,312
began,312
means,311
sense,310
help,310
whole,309
york,308
matter,308
perhaps,306
itself,304
times,300
human,299
law,299
name,298
line,298
above,296
example,292
action,291
hands,289
local,288
show,287
whether,286
five,286
history,286
gave,285
either,284
're,283
week,283
feet,283
across,282
act,282
car,281
past,281
quite,281
taken,281
anything,280
having,279
seen,279
body,279
death,277
experience,276
field,276
really,275
half,275
words,274
word,274
already,273
themselves,270
college,269
'm,269
information,269
tell,268
money,267
together,267
shall,266
period,265
sure,264
held,264
keep,264
free,260
real,260
probably,260
seems,259
political,258
behind,258
boy,257
question,257
air,257
miss,256
office,256
making,255
brought,253
mother,252
whose,252
moment,251
individual,250
special,250
major,247
heard,247
problems,247
woman,246
ago,246
child,246
federal,246
became,246
study,246
available,245
known,245
street,245
've,245
south,245
result,244
board,244
economic,243
wife,242
department,242
reason,241
society,240
position,240
job,239
change,239
west,238
court,238
areas,236
am,235
community,234
love,234
close,234
turn,233
true,231
girl,230
full,230
cost,229
force,229
seem,229
future,227
age,227
wanted,226
center,226
town,226
voice,226
party,225
university,224
common,223
control,223
policy,222
necessary,222
women,222
sometimes,221
following,221
front,221
father,220
six,220
land,219
clear,219
further,218
students,217
provide,216
able,216
feel,216
america,216
music,216
level,214
education,214
short,213
washington,213
effect,213
morning,213
military,212
stood,212
run,212
total,211
art,210
figure,209
rate,209
outside,209
black,209
class,208
century,207
plan,206
usually,206
north,206
therefore,205
sound,204
top,204
million,204
leave,204
evidence,204
hard,203
play,203
strong,202
various,201
road,201
believe,200
secretary,200
surface,200
type,200
says,200
soon,200
value,200
table,199
brown,199
mean,199
red,198
peace,198
modern,198
lines,198
near,198
tax,197
situation,196
book,196
process,196
minutes,196
personal,196
english,195
alone,195
schools,195
increase,195
gone,195
idea,195
nor,195
nature,194
months,194
living,194
started,194
longer,193
cut,192
finally,191
private,191
third,190
fire,189
section,189
dr.,188
call,188
greater,188
everything,188
needed,187
expected,187
values,186
industry,186
ground,186
kept,186
view,186
else,185
pressure,185
dark,185
space,184
basis,184
union,184
east,183
required,182
except,181
spirit,181
moved,181
wrote,181
complete,181
conditions,180
support,180
return,180
hope,179
particular,179
nations,179
recent,179
person,179
late,179
attention,179
live,177
costs,176
island,176
material,175
hours,175
forces,175
nation,175
son,175
taking,175
beyond,175
stage,174
report,174
read,174
coming,174
lost,173
instead,173
looking,173
heart,173
dead,173
inside,173
low,173
miles,173
data,173
pay,172
added,172
makes,172
single,172
feeling,172
followed,172
amount,172
move,171
cold,171
hundred,171
basic,171
including,171
committee,170
simply,170
tried,170
developed,170
research,169
reached,169
hold,169
ca,169
defense,167
administration,167
equipment,167
river,166
shown,166
central,166
actually,166
earth,166
kennedy,166
religious,165
ten,165
beginning,164
sort,164
getting,164
trying,163
received,163
rest,163
friends,163
terms,163
doing,163
subject,162
building,162
medical,162
especially,162
care,162
picture,162
indeed,162
simple,161
difficult,161
higher,161
fine,161
range,160
wall,160
walked,159
meeting,159
floor,158
paper,158
foreign,158
st.,158
bring,158
passed,157
cent,157
similar,157
county,157
property,156
training,156
international,155
final,155
congress,155
growth,155
natural,155
police,155
market,155
talk,154
club,154
hall,154
written,154
william,154
start,154
england,154
suddenly,153
hear,153
story,153
issue,152
needs,152
answer,152
countries,151
working,151
likely,151
considered,151
u.s.,150
sat,150
labor,150
entire,149
results,149
purpose,149
happened,149
bill,148
husband,148
production,148
difference,148
stand,148
hair,148
fall,148
cases,148
meet,148
stock,148
involved,147
food,147
whom,146
particularly,146
hour,146
boys,146
anyone,146
earlier,146
increased,146
sent,145
knowledge,145
letter,145
effort,145
below,145
thinking,145
paid,145
square,144
christian,144
using,144
girls,144
ideas,143
certainly,143
weeks,143
industrial,143
points,143
ready,143
blue,143
trade,143
addition,142
bad,142
deal,142
method,142
moral,142
methods,142
due,142
color,141
throughout,141
showed,141
neither,141
decided,141
directly,141
statement,141
nearly,141
yes,141
summer,141
questions,140
try,140
reading,140
lay,139
french,139
programs,139
services,139
according,139
remember,138
size,138
physical,138
record,137
s.,137
southern,137
army,137
western,137
comes,137
understand,137
population,136
strength,136
normal,136
friend,135
/2,135
aid,135
temperature,135
district,135
concerned,135
appeared,135
merely,135
volume,135
ran,134
trial,134
student,134
maybe,134
evening,134
direction,134
trouble,134
member,134
continued,133
association,133
sales,133
literature,133
influence,132
generally,132
provided,132
george,132
month,132
list,132
led,132
step,131
science,131
former,131
opened,131
chance,131
changes,131
average,130
series,130
soviet,130
works,130
hot,130
organization,130
freedom,130
cause,130
a.,130
systems,129
stopped,129
planning,129
myself,129
effective,129
piece,129
lead,129
met,129
direct,129
theory,129
clearly,128
forms,128
wrong,128
worked,128
movement,128
ways,128
ask,128
bed,127
fear,127
consider,127
beautiful,127
somewhat,127
hotel,127
press,127
lot,127
spring,127
game,127
efforts,127
note,127
plant,127
meaning,127
treatment,127
placed,126
truth,126
respect,125
groups,125
farm,125
degree,125
apparently,125
carried,125
numbers,125
herself,125
wide,125
easy,125
manner,124
reaction,124
latter,124
approach,123
immediately,123
recently,123
couple,123
lower,123
running,123
feed,123
larger,123
chief,122
horse,122
middle,122
charge,122
eye,122
de,122
performance,122
daily,122
blood,121
j.,121
arms,121
oh,121
europe,121
opportunity,121
technical,120
march,120
stop,120
persons,120
progress,120
described,120
radio,120
understanding,120
served,120
additional,120
gun,119
reported,119
decision,119
test,119
image,119
religion,119
main,119
determined,119
based,119
steps,119
window,119
appear,118
british,118
character,118
responsibility,118
green,118
doctor,118
sun,117
writing,117
pool,117
account,117
learned,117
types,116
justice,116
length,116
ones,116
activity,116
fiscal,116
christ,116
serious,116
hit,116
forward,115
activities,115
slowly,115
specific,115
obtained,115
returned,115
corner,115
nuclear,115
audience,115
letters,115
lived,115
seven,114
poor,114
moving,114
doubt,114
plane,114
quality,114
obviously,114
straight,114
design,114
officer,114
saying,113
plans,113
operation,113
include,113
stay,113
figures,113
born,113
staff,113
parts,113
function,113
pattern,113
choice,113
cars,112
shot,112
whatever,112
thomas,112
gives,112
ball,111
firm,111
poet,111
faith,111
lack,110
hospital,110
speak,110
standard,110
waiting,110
extent,110
heavy,110
wish,110
completely,110
principle,109
ahead,109
income,109
council,109
division,109
station,109
deep,109
effects,109
language,109
afternoon,109
visit,109
democratic,109
corps,109
established,108
analysis,108
importance,108
designed,108
indicated,108
price,108
negro,108
growing,108
c.,108
products,108
/1,108
chicago,108
season,108
distance,108
expect,108
stress,107
leaders,107
elements,107
serve,107
cities,107
continue,107
c,107
patient,107
sunday,107
determine,107
attitude,107
existence,107
pretty,107
reach,106
closed,106
easily,106
commission,106
limited,106
factors,106
hardly,106
write,106
agreement,106
applied,106
lord,105
interested,105
suggested,105
rhode,105
wo,105
attack,105
scene,105
health,105
married,105
drive,105
remained,105
played,104
covered,104
role,104
current,104
eight,104
charles,104
professional,104
james,104
spent,104
despite,104
machine,103
built,103
unit,103
original,103
mouth,103
exactly,103
studies,103
jack,103
teeth,103
date,103
reasons,103
director,102
rates,102
demand,102
rise,102
related,102
becomes,102
relations,102
news,102
king,102
prepared,102
race,102
trees,102
supply,102
standing,101
unless,101
events,101
bit,101
playing,101
dropped,101
raised,101
b,100
places,100
sides,100
energy,100
talking,100
someone,100
clay,100
mass,100
meant,100
walk,100
actual,100
techniques,99
glass,99
knows,99
filled,99
facilities,99
gas,98
materials,98
share,98
jazz,98
everyone,98
style,98
entered,98
popular,98
bridge,98
hell,98
institutions,98
concern,98
heat,98
happy,98
dollars,98
mike,98
mary,98
claim,98
caught,98
fight,98
governor,97
communist,97
radiation,97
film,97
parents,97
follow,97
conference,97
included,97
arm,97
thousand,97
suppose,97
status,97
cattle,97
giving,96
primary,96
usual,96
churches,96
sea,96
sitting,96
considerable,96
opinion,96
enemy,96
books,96
behavior,96
authority,96
accepted,96
funds,95
successful,95
marriage,95
attempt,95
corporation,95
proper,95
construction,95
changed,95
sir,94
tradition,94
worth,94
highly,94
practice,94
park,94
discussion,94
shows,94
source,94
sign,94
wait,94
management,93
remain,93
success,93
americans,93
annual,93
older,93
oil,93
project,93
june,93
fell,92
e.,92
pieces,92
thin,92
captain,92
leadership,92
principal,92
obvious,92
london,92
none,92
objective,91
security,91
records,91
base,91
measure,91
condition,91
structure,91
civil,91
dinner,91
frequently,91
complex,91
weight,91
entirely,91
produced,90
kitchen,90
purposes,90
equal,90
manager,90
caused,90
noted,90
balance,90
dance,90
officers,89
develop,89
yesterday,89
clothes,89
goes,89
rose,89
famous,89
poetry,89
regard,89
names,89
published,89
bright,89
quickly,89
failure,89
pass,89
workers,89
ship,88
pain,88
add,88
relationship,88
check,88
sources,88
capital,88
announced,88
cover,88
leaving,88
carry,88
active,88
laws,88
greatest,88
key,88
bottom,88
citizens,88
moreover,88
break,88
battle,87
facts,87
spoke,87
assistance,87
u.,87
fixed,87
finished,87
touch,87
possibility,87
carefully,87
companies,87
units,87
product,87
operating,87
stations,86
allowed,86
russia,86
require,86
build,86
died,86
scientific,86
inches,86
seeing,86
previous,86
loss,86
takes,86
financial,86
german,86
otherwise,86
philosophy,86
sight,86
shape,85
significant,85
stated,85
classes,85
team,85
concept,85
distribution,85
marked,85
relatively,85
musical,85
mark,85
post,85
variety,85
reports,84
learn,84
w.,84
named,84
circumstances,84
affairs,84
catholic,84
begin,84
broad,84
collection,84
rules,84
remains,84
lady,84
proposed,84
operations,84
strange,84
impossible,84
sex,84
aware,84
henry,83
remembered,83
spread,83
regular,83
interests,83
speed,83
houses,83
winter,83
brother,83
prevent,83
m.,83
sam,83
bank,83
appears,83
requirements,83
offered,83
slightly,83
opening,83
robert,83
capacity,83
khrushchev,82
crisis,82
produce,82
youth,82
teacher,82
p.,82
drink,82
bar,82
train,82
instance,82
poems,82
germany,82
presented,82
fresh,82
interesting,82
subjects,82
campaign,81
watched,81
index,81
event,81
forced,81
file,81
created,81
agreed,81
opposite,81
trip,81
b.,81
immediate,81
providence,81
apartment,81
watch,81
cells,81
nine,81
editor,81
lives,81
provides,81
neck,81
