token,freq
the,37060
of,15584
to,14856
in,13977
and,11300
a,10818
said,5872
on,5699
is,4814
that,4243
for,4181
was,3760
with,3552
by,3483
from,3278
as,3126
at,3092
he,3025
it,2784
be,2633
this,2237
percent,2190
are,2010
which,1978
will,1968
has,1962
an,1892
have,1857
not,1774
were,1754
its,1694
had,1685
but,1528
their,1462
after,1449
would,1416
his,1357
they,1348
we,1341
also,1282
bank,1246
or,1180
year,1167
who,1127
two,1126
first,1125
been,1123
government,1075
one,1068
last,1013
us,983
when,957
can,931
i,930
more,888
up,847
indonesia,833
trillion,832
state,809
other,805
there,755
pt,745
only,738
people,727
so,724
rate,720
over,713
than,693
billion,692
into,690
all,678
out,678
time,677
world,665
new,655
against,646
minister,634
three,619
because,617
second,613
about,612
could,578
president,576
told,575
she,571
some,570
market,562
here,561
if,556
no,555
while,552
still,549
economic,546
million,530
foreign,528
before,523
wednesday,523
since,522
per,521
between,509
tuesday,504
through,504
them,497
points,492
monday,465
inflation,460
police,456
company,450
rupiah,443
very,443
made,440
years,438
thursday,437
such,436
central,434
these,433
development,431
now,429
oil,429
growth,428
capital,427
security,426
dollar,425
four,424
united,422
set,422
increase,408
number,407
system,404
just,395
minutes,393
international,390
win,390
killed,385
used,374
country,372
indonesian,371
expected,362
during,361
under,360
make,359
end,358
our,354
high,353
do,353
interest,351
same,347
most,344
financial,341
many,339
exchange,338
league,336
north,336
home,334
third,334
friday,333
finance,332
back,332
national,329
according,327
price,326
group,326
u.,325
five,325
meeting,322
may,321
like,320
well,319
added,318
down,316
game,314
iraq,314
director,313
public,312
cup,311
her,310
side,309
states,303
military,303
next,303
economy,302
due,300
reached,299
south,298
statement,298
including,298
day,297
should,294
being,294
earlier,291
match,290
another,290
official,290
around,289
however,288
any,287
business,286
use,286
sunday,285
then,284
investment,283
take,283
what,282
period,282
bi,280
budget,280
month,279
several,279
week,279
level,277
team,276
net,276
troops,276
where,276
countries,271
off,268
s.,265
prices,265
officials,261
total,261
information,260
global,260
japan,259
part,258
even,258
nuclear,257
good,256
process,256
gas,255
former,255
forces,254
body,254
real,252
local,251
months,249
report,248
season,248
final,248
energy,246
place,245
city,245
goal,244
half,243
sector,243
water,241
general,241
until,240
ministry,240
six,239
reported,239
micro,239
those,239
reach,238
top,238
called,238
banks,236
bonds,236
agency,236
found,233
must,232
play,232
saturday,231
way,231
won,230
target,230
lead,229
spokesman,225
attack,224
following,223
technology,223
shares,223
early,223
talks,222
long,219
credit,219
jakarta,219
did,216
both,216
open,215
him,214
quarter,213
profit,212
prime,211
area,211
put,210
support,210
came,209
based,209
s,209
round,208
far,208
country's,207
result,207
took,207
without,206
late,206
power,205
you,203
palestinian,203
left,202
among,201
able,201
air,201
news,200
later,200
need,200
plan,199
each,198
war,197
how,197
held,197
become,196
least,196
get,195
champions,195
different,194
days,193
income,192
loans,190
production,188
leaders,188
much,187
small,186
coach,185
service,185
control,185
funds,184
compared,184
work,183
order,183
tbk,183
head,182
share,181
force,181
pressure,181
iraqi,180
program,180
companies,179
stock,179
japanese,178
issue,178
data,177
domestic,177
china,177
victory,177
main,176
east,176
form,176
change,175
higher,175
does,174
industry,173
attacks,173
right,173
near,173
investors,172
agreement,172
banking,172
indonesia's,172
my,172
striker,171
company's,171
rose,171
yet,170
regional,170
already,170
shot,170
big,170
various,170
house,170
past,170
meanwhile,169
region,169
loan,169
again,169
fourth,168
tax,168
american,168
using,168
problem,168
think,168
worth,168
minute,168
iran,167
life,166
known,166
away,166
amount,165
fuel,165
ahead,164
israeli,163
further,163
given,163
political,162
come,162
behind,162
march,162
services,161
chief,160
help,160
strong,159
june,158
every,158
played,158
possible,157
free,157
condition,156
meet,156
position,156
secretary,156
human,156
taken,155
see,155
peace,154
korea,154
better,154
beat,154
club,153
law,153
title,153
reporters,152
hit,151
start,151
within,151
visit,150
go,150
major,150
money,149
times,149
southern,149
office,148
despite,148
increased,148
going,147
although,147
eight,147
games,146
know,145
violence,144
others,144
clear,144
baghdad,144
face,144
food,143
credits,143
army,143
source,143
continue,142
seven,142
french,142
fund,142
give,142
move,142
important,142
goals,141
research,141
sources,141
bank's,141
whether,141
sales,141
nine,140
car,140
lower,140
want,140
policy,140
rating,139
previous,139
project,138
low,138
west,138
april,138
draw,137
scored,137
matches,137
nations,137
went,136
decision,136
cooperation,136
unit,136
lost,136
saying,136
december,136
record,136
seed,135
province,135
afghanistan,135
ago,135
conditions,135
party,134
players,134
special,134
internet,134
it's,133
gave,133
computer,133
species,133
institution,133
january,132
israel,131
soldiers,131
wounded,131
bomb,130
caused,130
point,130
value,130
living,129
government's,129
efforts,129
members,129
asked,129
midfielder,129
best,128
movement,128
fact,128
drop,128
media,128
too,128
middle,127
structure,127
sri,126
impact,126
making,126
really,126
above,126
current,125
enough,125
natural,125
say,125
return,125
men,125
conference,124
signed,124
fire,123
forward,123
less,123
cannot,123
never,122
few,122
2-1,122
rise,122
agreed,122
deal,121
similar,121
blood,121
injured,121
light,121
defence,120
rice,120
cause,120
british,120
seen,120
increasing,119
crude,119
weeks,119
provide,119
dead,118
recent,118
poverty,118
african,117
namely,117
today,117
recorded,117
fell,117
though,117
me,117
role,117
management,116
own,116
death,116
sent,116
working,116
france,116
chinese,116
february,116
september,115
difficult,115
close,115
issued,115
senior,115
develop,114
tons,114
groups,114
positive,114
hope,113
morning,113
court,113
risk,113
run,113
trade,112
publicly-listed,112
taliban,111
un,111
likely,111
chance,111
keep,111
needed,111
fighting,111
crisis,110
strengthen,110
means,110
adding,110
done,110
problems,110
series,109
developed,109
bush,109
carried,109
health,109
champion,108
certain,108
died,108
reports,108
average,108
defeat,108
rupiah's,108
showed,108
site,108
break,108
soon,107
might,107
got,107
man,107
future,107
announced,107
asian,106
operation,106
building,106
predicted,106
study,106
television,106
spot,106
russian,106
cells,105
led,105
whose,104
great,104
failed,104
