token,freq
the,54093
to,43533
a,30946
and,28725
is,28610
in,27594
of,24758
time,21634
smoking,20583
it,19231
that,18426
for,18261
part,15714
i,15063
job,14987
they,14842
have,14412
not,13721
can,12844
be,12643
are,12048
people,11856
students,10807
their,10505
we,10063
smoke,9845
do,9788
you,8770
should,8607
will,8231
college,7838
but,7603
as,7574
restaurants,7346
so,7150
if,6902
all,6627
money,6558
with,6472
this,6467
at,6441
think,6073
because,6018
or,5883
smokers,5664
many,5659
more,5657
also,5543
some,5477
n't,5430
who,5359
from,5256
restaurant,5186
on,5003
work,4933
's,4620
there,4556
them,4353
our,4332
good,4330
by,4132
important,4027
when,3939
other,3814
get,3698
very,3687
make,3608
banned,3534
health,3430
student,3422
my,3405
one,3235
only,3197
jobs,3119
experience,3114
may,3053
bad,2939
life,2892
which,2872
public,2792
want,2772
your,2764
smoker,2625
has,2621
study,2597
would,2578
like,2515
about,2499
working,2415
parents,2406
country,2374
cigarette,2318
know,2293
place,2253
no,2235
than,2213
what,2188
agree,2183
learn,2173
having,2128
lot,2109
most,2102
how,2062
completely,2059
non,2022
school,1994
an,1987
us,1981
even,1979
such,1961
must,1910
first,1896
help,1879
places,1874
﻿i,1854
way,1851
need,1824
these,1804
take,1781
much,1780
second,1775
society,1765
just,1715
he,1617
others,1586
however,1578
person,1578
go,1554
future,1552
things,1534
university,1528
ban,1507
well,1477
after,1447
cancer,1428
thing,1427
up,1414
doing,1396
me,1392
reasons,1392
hand,1377
feel,1377
too,1372
his,1368
hard,1367
those,1347
around,1342
family,1312
then,1308
smell,1304
cigarettes,1302
earn,1302
find,1276
does,1274
was,1264
could,1254
why,1246
reason,1245
give,1239
out,1215
food,1210
use,1209
example,1200
while,1183
every,1181
better,1169
world,1161
cause,1140
children,1138
especially,1125
where,1123
still,1121
really,1120
now,1112
friends,1112
themselves,1092
become,1090
therefore,1073
government,1069
harmful,1066
area,1065
opinion,1053
own,1052
problem,1050
studying,1034
ca,1024
any,1011
right,1009
enjoy,979
air,978
pay,945
lung,941
different,940
customers,934
something,912
harm,900
eat,900
studies,893
before,890
into,890
free,881
spend,879
social,855
stop,844
say,841
being,838
day,830
high,824
habit,816
someone,806
through,802
everyone,800
without,794
environment,791
eating,790
been,783
same,780
see,780
might,778
both,776
able,774
dangerous,772
makes,766
enough,762
during,739
body,737
knowledge,724
am,721
come,720
had,718
problems,717
tobacco,715
experiences,707
always,699
live,698
necessary,693
new,689
skills,685
effect,681
education,672
difficult,670
taking,663
believe,659
another,658
two,647
buy,645
long,644
support,640
banning,632
course,632
idea,630
great,625
its,624
try,618
diseases,613
disease,609
japan,606
best,606
﻿smoking,596
effects,594
passive,584
meal,581
areas,567
etc,562
since,560
smokes,560
real,558
young,554
fact,552
statement,552
although,549
full,544
though,543
order,528
years,527
him,526
were,519
room,518
little,518
learning,516
financial,515
she,513
addition,509
human,508
due,508
income,507
gain,507
getting,505
healthy,503
start,503
her,502
usually,500
never,499
keep,498
chance,497
needs,496
choose,494
living,493
affect,493
outside,490
less,488
often,487
already,485
understand,480
number,479
tuition,478
responsibility,474
kind,472
maybe,472
result,467
manage,466
causes,457
going,454
whether,453
class,451
situation,450
benefit,449
useful,449
let,446
means,441
activities,440
thus,437
various,435
over,435
extra,433
moreover,433
last,433
benefits,433
burden,432
damage,430
did,423
secondly,420
yourself,418
care,418
days,417
quit,417
meet,413
least,411
graduate,410
sometimes,410
besides,409
easy,408
making,408
used,406
law,402
third,400
practice,395
finally,394
expenses,393
man,393
big,393
actually,392
reduce,390
independent,388
ability,388
said,388
case,384
provide,384
each,383
countries,383
lungs,381
advantages,381
easily,378
between,377
allow,375
heart,374
choice,373
conclusion,372
away,371
allowed,369
point,369
done,368
happy,368
poor,366
serious,364
matter,361
business,361
made,357
nicotine,356
nowadays,354
main,354
company,350
earning,350
lives,349
common,347
disagree,346
firstly,346
kinds,345
save,344
far,343
increase,342
ourselves,342
rights,342
worse,339
near,339
almost,338
put,337
look,337
few,335
families,334
gives,334
risk,332
mind,331
waste,330
age,328
view,327
importance,326
opportunity,324
home,322
next,322
self,318
adults,317
hours,316
year,316
activity,315
three,315
instead,313
times,313
known,312
today,310
breathe,310
got,309
atmosphere,309
above,307
several,307
hate,305
ways,301
value,300
rather,298
