Word	Category	Lemma
a	Level 01	a
an	Level 01	a
able	Level 01	able
abilities	Level 01	able
ability	Level 01	able
abler	Level 01	able
ablest	Level 01	able
ably	Level 01	able
inability	Level 01	able
unable	Level 01	able
about	Level 01	about
above	Level 01	above
absolute	Level 01	absolute
absolutely	Level 01	absolute
absolutes	Level 01	absolute
absolutism	Level 01	absolute
absolutist	Level 01	absolute
absolutists	Level 01	absolute
accept	Level 01	accept
acceptability	Level 01	accept
acceptable	Level 01	accept
acceptably	Level 01	accept
acceptance	Level 01	accept
acceptances	Level 01	accept
accepted	Level 01	accept
accepting	Level 01	accept
acceptor	Level 01	accept
acceptors	Level 01	accept
accepts	Level 01	accept
unacceptability	Level 01	accept
unacceptable	Level 01	accept
unacceptably	Level 01	accept
across	Level 01	across
act	Level 01	act
acted	Level 01	act
acting	Level 01	act
action	Level 01	act
actionable	Level 01	act
actioned	Level 01	act
actioning	Level 01	act
actions	Level 01	act
actor	Level 01	act
actors	Level 01	act
actress	Level 01	act
actresses	Level 01	act
acts	Level 01	act
inaction	Level 01	act
unactioned	Level 01	act
actual	Level 01	actual
actualisation	Level 01	actual
actualisations	Level 01	actual
actualise	Level 01	actual
actualised	Level 01	actual
actualises	Level 01	actual
actualising	Level 01	actual
actualities	Level 01	actual
actuality	Level 01	actual
actualization	Level 01	actual
actualizations	Level 01	actual
actualize	Level 01	actual
actualized	Level 01	actual
actualizes	Level 01	actual
actualizing	Level 01	actual
actually	Level 01	actual
add	Level 01	add
added	Level 01	add
adding	Level 01	add
addition	Level 01	add
additional	Level 01	add
additionality	Level 01	add
additionally	Level 01	add
additions	Level 01	add
additive	Level 01	add
additives	Level 01	add
adds	Level 01	add
admit	Level 01	admit
admits	Level 01	admit
admittance	Level 01	admit
admittances	Level 01	admit
admitted	Level 01	admit
admittedly	Level 01	admit
admitting	Level 01	admit
readmit	Level 01	admit
readmits	Level 01	admit
readmittance	Level 01	admit
readmitted	Level 01	admit
readmitting	Level 01	admit
advertise	Level 01	advertise
ad	Level 01	advertise
ads	Level 01	advertise
advert	Level 01	advertise
advertised	Level 01	advertise
advertisement	Level 01	advertise
advertisements	Level 01	advertise
advertiser	Level 01	advertise
advertisers	Level 01	advertise
advertises	Level 01	advertise
advertising	Level 01	advertise
advertize	Level 01	advertise
advertized	Level 01	advertise
advertizement	Level 01	advertise
advertizements	Level 01	advertise
advertizer	Level 01	advertise
advertizers	Level 01	advertise
advertizes	Level 01	advertise
advertizing	Level 01	advertise
adverts	Level 01	advertise
adman	Level 01	advertise
admen	Level 01	advertise
afraid	Level 01	afraid
unafraid	Level 01	afraid
after	Level 01	after
afterward	Level 01	after
afterwards	Level 01	after
afternoon	Level 01	afternoon
afternoons	Level 01	afternoon
again	Level 01	again
against	Level 01	against
age	Level 01	age
aged	Level 01	age
ageing	Level 01	age
ageism	Level 01	age
ageist	Level 01	age
ageists	Level 01	age
ageless	Level 01	age
ager	Level 01	age
agers	Level 01	age
ages	Level 01	age
aging	Level 01	age
underage	Level 01	age
ago	Level 01	ago
agree	Level 01	agree
agreeable	Level 01	agree
agreeably	Level 01	agree
agreed	Level 01	agree
agreeing	Level 01	agree
agreement	Level 01	agree
agreements	Level 01	agree
agrees	Level 01	agree
ahead	Level 01	ahead
air	Level 01	air
aired	Level 01	air
airier	Level 01	air
airiest	Level 01	air
airily	Level 01	air
airiness	Level 01	air
airing	Level 01	air
airings	Level 01	air
airless	Level 01	air
airs	Level 01	air
airy	Level 01	air
midair	Level 01	air
airbase	Level 01	air
airbases	Level 01	air
airforce	Level 01	air
airforces	Level 01	air
airman	Level 01	air
airmen	Level 01	air
airspace	Level 01	air
airspaces	Level 01	air
airtime	Level 01	air
airpower	Level 01	air
airfield	Level 01	air
airfields	Level 01	air
all	Level 01	all
allow	Level 01	allow
allowable	Level 01	allow
allowance	Level 01	allow
allowances	Level 01	allow
allowed	Level 01	allow
allowing	Level 01	allow
allows	Level 01	allow
almost	Level 01	almost
alone	Level 01	alone
standalone	Level 01	alone
along	Level 01	along
already	Level 01	already
alright	Level 01	alright
alrighty	Level 01	alright
also	Level 01	also
although	Level 01	although
always	Level 01	always
allus	Level 01	always
amaze	Level 01	amaze
amazed	Level 01	amaze
amazement	Level 01	amaze
amazes	Level 01	amaze
amazing	Level 01	amaze
amazingly	Level 01	amaze
among	Level 01	among
amongst	Level 01	among
amount	Level 01	amount
amounted	Level 01	amount
amounting	Level 01	amount
amounts	Level 01	amount
and	Level 01	and
ands	Level 01	and
animal	Level 01	animal
animals	Level 01	animal
another	Level 01	another
answer	Level 01	answer
answerable	Level 01	answer
answered	Level 01	answer
answering	Level 01	answer
answers	Level 01	answer
unanswerable	Level 01	answer
unanswered	Level 01	answer
any	Level 01	any
anybody	Level 01	any
anyhow	Level 01	any
anymore	Level 01	any
anyone	Level 01	any
anythin	Level 01	any
anything	Level 01	any
anyway	Level 01	any
anyways	Level 01	any
anywhere	Level 01	any
owt	Level 01	any
apart	Level 01	apart
apparent	Level 01	apparent
apparently	Level 01	apparent
appear	Level 01	appear
appearance	Level 01	appear
appearances	Level 01	appear
appeared	Level 01	appear
appearing	Level 01	appear
appears	Level 01	appear
reappear	Level 01	appear
reappearance	Level 01	appear
reappearances	Level 01	appear
reappeared	Level 01	appear
reappearing	Level 01	appear
reappears	Level 01	appear
area	Level 01	area
areas	Level 01	area
arm	Level 01	arm
armful	Level 01	arm
armfuls	Level 01	arm
arms	Level 01	arm
underarm	Level 01	arm
around	Level 01	around
arrange	Level 01	arrange
arranged	Level 01	arrange
arrangement	Level 01	arrange
arrangements	Level 01	arrange
arranger	Level 01	arrange
arrangers	Level 01	arrange
arranges	Level 01	arrange
arranging	Level 01	arrange
prearrange	Level 01	arrange
prearranged	Level 01	arrange
prearranges	Level 01	arrange
prearranging	Level 01	arrange
rearrange	Level 01	arrange
rearranged	Level 01	arrange
rearrangement	Level 01	arrange
rearrangements	Level 01	arrange
rearranges	Level 01	arrange
rearranging	Level 01	arrange
arrive	Level 01	arrive
arrival	Level 01	arrive
arrivals	Level 01	arrive
arrived	Level 01	arrive
arrives	Level 01	arrive
arriving	Level 01	arrive
as	Level 01	as
ask	Level 01	ask
aske	Level 01	ask
asked	Level 01	ask
asking	Level 01	ask
asks	Level 01	ask
unasked	Level 01	ask
at	Level 01	at
aware	Level 01	aware
awareness	Level 01	aware
unaware	Level 01	aware
unawares	Level 01	aware
away	Level 01	away
aways	Level 01	away
takeaway	Level 01	away
takeaways	Level 01	away
getaway	Level 01	away
getaways	Level 01	away
giveaway	Level 01	away
giveaways	Level 01	away
runaway	Level 01	away
runaways	Level 01	away
awful	Level 01	awful
awfully	Level 01	awful
awfulness	Level 01	awful
godawful	Level 01	awful
baby	Level 01	baby
babby	Level 01	baby
babies	Level 01	baby
babyish	Level 01	baby
back	Level 01	back
backed	Level 01	back
backer	Level 01	back
backers	Level 01	back
backing	Level 01	back
backs	Level 01	back
backward	Level 01	back
backwardness	Level 01	back
backwardnesses	Level 01	back
backwards	Level 01	back
backup	Level 01	back
backups	Level 01	back
callback	Level 01	back
callbacks	Level 01	back
talkback	Level 01	back
bad	Level 01	bad
baddie	Level 01	bad
baddies	Level 01	bad
baddy	Level 01	bad
badly	Level 01	bad
badness	Level 01	bad
bads	Level 01	bad
bag	Level 01	bag
bagful	Level 01	bag
bagfuls	Level 01	bag
baggage	Level 01	bag
bagged	Level 01	bag
bagging	Level 01	bag
bags	Level 01	bag
airbag	Level 01	bag
airbags	Level 01	bag
handbag	Level 01	bag
handbags	Level 01	bag
ball	Level 01	ball
balled	Level 01	ball
balling	Level 01	ball
balls	Level 01	ball
eyeball	Level 01	ball
eyeballs	Level 01	ball
fireball	Level 01	ball
fireballs	Level 01	ball
paintball	Level 01	ball
paintballs	Level 01	ball
ballplayer	Level 01	ball
ballplayers	Level 01	ball
ballroom	Level 01	ball
ballrooms	Level 01	ball
bar	Level 01	bar
barred	Level 01	bar
barring	Level 01	bar
bars	Level 01	bar
unbarred	Level 01	bar
crossbar	Level 01	bar
crossbars	Level 01	bar
sidebar	Level 01	bar
sidebars	Level 01	bar
barroom	Level 01	bar
barrooms	Level 01	bar
barman	Level 01	bar
barmen	Level 01	bar
base	Level 01	base
based	Level 01	base
baseless	Level 01	base
baser	Level 01	base
bases	Level 01	base
basest	Level 01	base
basing	Level 01	base
baseline	Level 01	base
baselines	Level 01	base
powerbase	Level 01	base
basic	Level 01	basic
basically	Level 01	basic
basics	Level 01	basic
be	Level 01	be
ain	Level 01	be
am	Level 01	be
are	Level 01	be
aren	Level 01	be
been	Level 01	be
beens	Level 01	be
bein	Level 01	be
being	Level 01	be
beings	Level 01	be
innit	Level 01	be
is	Level 01	be
isn	Level 01	be
m	Level 01	be
re	Level 01	be
s	Level 01	be
tis	Level 01	be
twas	Level 01	be
was	Level 01	be
wasn	Level 01	be
were	Level 01	be
weren	Level 01	be
wert	Level 01	be
wuz	Level 01	be
bear	Level 01	bear
bearable	Level 01	bear
bearably	Level 01	bear
bearer	Level 01	bear
bearers	Level 01	bear
bearing	Level 01	bear
bearings	Level 01	bear
bears	Level 01	bear
bore	Level 01	bear
borne	Level 01	bear
unbearable	Level 01	bear
unbearably	Level 01	bear
childbearing	Level 01	bear
childbearings	Level 01	bear
waterborne	Level 01	bear
airborne	Level 01	bear
borehole	Level 01	bear
boreholes	Level 01	bear
beat	Level 01	beat
beaten	Level 01	beat
beater	Level 01	beat
beaters	Level 01	beat
beating	Level 01	beat
beatings	Level 01	beat
beats	Level 01	beat
unbeatable	Level 01	beat
unbeaten	Level 01	beat
heartbeat	Level 01	beat
heartbeats	Level 01	beat
offbeat	Level 01	beat
beauty	Level 01	beauty
beauteous	Level 01	beauty
beautician	Level 01	beauty
beauticians	Level 01	beauty
beauties	Level 01	beauty
beautification	Level 01	beauty
beautified	Level 01	beauty
beautifies	Level 01	beauty
beautiful	Level 01	beauty
beautifully	Level 01	beauty
beautify	Level 01	beauty
because	Level 01	because
cos	Level 01	because
coz	Level 01	because
become	Level 01	become
became	Level 01	become
becomes	Level 01	become
becoming	Level 01	become
bed	Level 01	bed
bedded	Level 01	bed
bedding	Level 01	bed
beds	Level 01	bed
deathbed	Level 01	bed
deathbeds	Level 01	bed
riverbed	Level 01	bed
seabed	Level 01	bed
seabeds	Level 01	bed
bedpost	Level 01	bed
bedposts	Level 01	bed
bedroom	Level 01	bed
bedroomed	Level 01	bed
bedrooms	Level 01	bed
bedside	Level 01	bed
bedsides	Level 01	bed
bedtime	Level 01	bed
bedtimes	Level 01	bed
before	Level 01	before
begin	Level 01	begin
began	Level 01	begin
beginner	Level 01	begin
beginners	Level 01	begin
beginning	Level 01	begin
beginnings	Level 01	begin
begins	Level 01	begin
begun	Level 01	begin
behind	Level 01	behind
believe	Level 01	believe
believable	Level 01	believe
believed	Level 01	believe
believer	Level 01	believe
believers	Level 01	believe
believes	Level 01	believe
believing	Level 01	believe
unbelievable	Level 01	believe
unbelievably	Level 01	believe
unbeliever	Level 01	believe
unbelievers	Level 01	believe
unbelieving	Level 01	believe
unbelievingly	Level 01	believe
below	Level 01	below
belowground	Level 01	below
best	Level 01	best
better	Level 01	better
bettered	Level 01	better
bettering	Level 01	better
betterment	Level 01	better
betterments	Level 01	better
betters	Level 01	better
between	Level 01	between
betweens	Level 01	between
inbetween	Level 01	between
beyond	Level 01	beyond
big	Level 01	big
bigger	Level 01	big
biggest	Level 01	big
biggish	Level 01	big
bigness	Level 01	big
bill	Level 01	bill
billed	Level 01	bill
billing	Level 01	bill
bills	Level 01	bill
handbill	Level 01	bill
handbills	Level 01	bill
playbill	Level 01	bill
playbills	Level 01	bill
billboard	Level 01	bill
billboards	Level 01	bill
billion	Level 01	billion
billions	Level 01	billion
billionth	Level 01	billion
