Word	Category	Lemma
analyse	Sublist 01	analyse
analysed	Sublist 01	analyse
analyser	Sublist 01	analyse
analysers	Sublist 01	analyse
analyses	Sublist 01	analyse
analysing	Sublist 01	analyse
analysis	Sublist 01	analyse
analyst	Sublist 01	analyse
analysts	Sublist 01	analyse
analytic	Sublist 01	analyse
analytical	Sublist 01	analyse
analytically	Sublist 01	analyse
analyze	Sublist 01	analyse
analyzed	Sublist 01	analyse
analyzes	Sublist 01	analyse
analyzing	Sublist 01	analyse
approach	Sublist 01	approach
approachable	Sublist 01	approach
approached	Sublist 01	approach
approaches	Sublist 01	approach
approaching	Sublist 01	approach
unapproachable	Sublist 01	approach
area	Sublist 01	area
areas	Sublist 01	area
assess	Sublist 01	assess
assessable	Sublist 01	assess
assessed	Sublist 01	assess
assesses	Sublist 01	assess
assessing	Sublist 01	assess
assessment	Sublist 01	assess
assessments	Sublist 01	assess
reassess	Sublist 01	assess
reassessed	Sublist 01	assess
reassessing	Sublist 01	assess
reassessment	Sublist 01	assess
unassessed	Sublist 01	assess
assume	Sublist 01	assume
assumed	Sublist 01	assume
assumes	Sublist 01	assume
assuming	Sublist 01	assume
assumption	Sublist 01	assume
assumptions	Sublist 01	assume
authority	Sublist 01	authority
authoritative	Sublist 01	authority
authorities	Sublist 01	authority
available	Sublist 01	available
availability	Sublist 01	available
unavailable	Sublist 01	available
benefit	Sublist 01	benefit
beneficial	Sublist 01	benefit
beneficiaries	Sublist 01	benefit
beneficiary	Sublist 01	benefit
benefited	Sublist 01	benefit
benefiting	Sublist 01	benefit
benefits	Sublist 01	benefit
concept	Sublist 01	concept
conception	Sublist 01	concept
concepts	Sublist 01	concept
conceptual	Sublist 01	concept
conceptualisation	Sublist 01	concept
conceptualise	Sublist 01	concept
conceptualised	Sublist 01	concept
conceptualises	Sublist 01	concept
conceptualising	Sublist 01	concept
conceptually	Sublist 01	concept
consist	Sublist 01	consist
consisted	Sublist 01	consist
consistency	Sublist 01	consist
consistent	Sublist 01	consist
consistently	Sublist 01	consist
consisting	Sublist 01	consist
consists	Sublist 01	consist
inconsistencies	Sublist 01	consist
inconsistency	Sublist 01	consist
inconsistent	Sublist 01	consist
constitute	Sublist 01	constitute
constituencies	Sublist 01	constitute
constituency	Sublist 01	constitute
constituent	Sublist 01	constitute
constituents	Sublist 01	constitute
constituted	Sublist 01	constitute
constitutes	Sublist 01	constitute
constituting	Sublist 01	constitute
constitution	Sublist 01	constitute
constitutional	Sublist 01	constitute
constitutionally	Sublist 01	constitute
constitutions	Sublist 01	constitute
constitutive	Sublist 01	constitute
unconstitutional	Sublist 01	constitute
context	Sublist 01	context
contexts	Sublist 01	context
contextual	Sublist 01	context
contextualise	Sublist 01	context
contextualised	Sublist 01	context
contextualising	Sublist 01	context
contextualize	Sublist 01	context
contextualized	Sublist 01	context
contextualizing	Sublist 01	context
uncontextualised	Sublist 01	context
uncontextualized	Sublist 01	context
contract	Sublist 01	contract
contracted	Sublist 01	contract
contracting	Sublist 01	contract
contractor	Sublist 01	contract
contractors	Sublist 01	contract
contracts	Sublist 01	contract
create	Sublist 01	create
created	Sublist 01	create
creates	Sublist 01	create
creating	Sublist 01	create
creation	Sublist 01	create
creations	Sublist 01	create
creative	Sublist 01	create
creatively	Sublist 01	create
creativity	Sublist 01	create
creator	Sublist 01	create
creators	Sublist 01	create
recreate	Sublist 01	create
recreated	Sublist 01	create
recreates	Sublist 01	create
recreating	Sublist 01	create
data	Sublist 01	data
define	Sublist 01	define
definable	Sublist 01	define
defined	Sublist 01	define
defines	Sublist 01	define
defining	Sublist 01	define
definition	Sublist 01	define
definitions	Sublist 01	define
redefine	Sublist 01	define
redefined	Sublist 01	define
redefines	Sublist 01	define
redefining	Sublist 01	define
undefined	Sublist 01	define
derive	Sublist 01	derive
derivation	Sublist 01	derive
derivations	Sublist 01	derive
derivative	Sublist 01	derive
derivatives	Sublist 01	derive
derived	Sublist 01	derive
derives	Sublist 01	derive
deriving	Sublist 01	derive
distribute	Sublist 01	distribute
distributed	Sublist 01	distribute
distributing	Sublist 01	distribute
distribution	Sublist 01	distribute
distributional	Sublist 01	distribute
distributions	Sublist 01	distribute
distributive	Sublist 01	distribute
distributor	Sublist 01	distribute
distributors	Sublist 01	distribute
redistribute	Sublist 01	distribute
redistributed	Sublist 01	distribute
redistributes	Sublist 01	distribute
redistributing	Sublist 01	distribute
redistribution	Sublist 01	distribute
economy	Sublist 01	economy
economic	Sublist 01	economy
economical	Sublist 01	economy
economically	Sublist 01	economy
economics	Sublist 01	economy
economies	Sublist 01	economy
economist	Sublist 01	economy
economists	Sublist 01	economy
uneconomical	Sublist 01	economy
environment	Sublist 01	environment
environmental	Sublist 01	environment
environmentalist	Sublist 01	environment
environmentalists	Sublist 01	environment
environmentally	Sublist 01	environment
environments	Sublist 01	environment
establish	Sublist 01	establish
disestablish	Sublist 01	establish
disestablished	Sublist 01	establish
disestablishes	Sublist 01	establish
disestablishing	Sublist 01	establish
disestablishment	Sublist 01	establish
established	Sublist 01	establish
establishes	Sublist 01	establish
establishing	Sublist 01	establish
establishment	Sublist 01	establish
establishments	Sublist 01	establish
estimate	Sublist 01	estimate
estimated	Sublist 01	estimate
estimates	Sublist 01	estimate
estimating	Sublist 01	estimate
estimation	Sublist 01	estimate
estimations	Sublist 01	estimate
over-estimate	Sublist 01	estimate
overestimate	Sublist 01	estimate
overestimated	Sublist 01	estimate
overestimates	Sublist 01	estimate
overestimating	Sublist 01	estimate
underestimate	Sublist 01	estimate
underestimated	Sublist 01	estimate
underestimates	Sublist 01	estimate
underestimating	Sublist 01	estimate
evident	Sublist 01	evident
evidence	Sublist 01	evident
evidenced	Sublist 01	evident
evidential	Sublist 01	evident
evidently	Sublist 01	evident
export	Sublist 01	export
exported	Sublist 01	export
exporter	Sublist 01	export
exporters	Sublist 01	export
exporting	Sublist 01	export
exports	Sublist 01	export
factor	Sublist 01	factor
factored	Sublist 01	factor
factoring	Sublist 01	factor
factors	Sublist 01	factor
finance	Sublist 01	finance
financed	Sublist 01	finance
finances	Sublist 01	finance
financial	Sublist 01	finance
financially	Sublist 01	finance
financier	Sublist 01	finance
financiers	Sublist 01	finance
financing	Sublist 01	finance
formula	Sublist 01	formula
formulae	Sublist 01	formula
formulas	Sublist 01	formula
formulate	Sublist 01	formula
formulated	Sublist 01	formula
formulating	Sublist 01	formula
formulation	Sublist 01	formula
formulations	Sublist 01	formula
reformulate	Sublist 01	formula
reformulated	Sublist 01	formula
reformulating	Sublist 01	formula
reformulation	Sublist 01	formula
reformulations	Sublist 01	formula
function	Sublist 01	function
functional	Sublist 01	function
functionally	Sublist 01	function
functioned	Sublist 01	function
functioning	Sublist 01	function
functions	Sublist 01	function
identify	Sublist 01	identify
identifiable	Sublist 01	identify
identification	Sublist 01	identify
identified	Sublist 01	identify
identifies	Sublist 01	identify
identifying	Sublist 01	identify
identities	Sublist 01	identify
identity	Sublist 01	identify
unidentifiable	Sublist 01	identify
income	Sublist 01	income
incomes	Sublist 01	income
indicate	Sublist 01	indicate
indicated	Sublist 01	indicate
indicates	Sublist 01	indicate
indicating	Sublist 01	indicate
indication	Sublist 01	indicate
indications	Sublist 01	indicate
indicative	Sublist 01	indicate
indicator	Sublist 01	indicate
indicators	Sublist 01	indicate
individual	Sublist 01	individual
individualised	Sublist 01	individual
individualism	Sublist 01	individual
individualist	Sublist 01	individual
individualistic	Sublist 01	individual
individualists	Sublist 01	individual
individuality	Sublist 01	individual
individually	Sublist 01	individual
individuals	Sublist 01	individual
interpret	Sublist 01	interpret
interpretation	Sublist 01	interpret
interpretations	Sublist 01	interpret
interpretative	Sublist 01	interpret
interpreted	Sublist 01	interpret
interpreting	Sublist 01	interpret
interpretive	Sublist 01	interpret
interprets	Sublist 01	interpret
misinterpret	Sublist 01	interpret
misinterpretation	Sublist 01	interpret
misinterpretations	Sublist 01	interpret
misinterpreted	Sublist 01	interpret
misinterpreting	Sublist 01	interpret
misinterprets	Sublist 01	interpret
reinterpret	Sublist 01	interpret
reinterpretation	Sublist 01	interpret
reinterpretations	Sublist 01	interpret
reinterpreted	Sublist 01	interpret
reinterpreting	Sublist 01	interpret
reinterprets	Sublist 01	interpret
involve	Sublist 01	involve
involved	Sublist 01	involve
involvement	Sublist 01	involve
involves	Sublist 01	involve
involving	Sublist 01	involve
uninvolved	Sublist 01	involve
issue	Sublist 01	issue
issued	Sublist 01	issue
issues	Sublist 01	issue
issuing	Sublist 01	issue
labour	Sublist 01	labour
labor	Sublist 01	labour
labored	Sublist 01	labour
labors	Sublist 01	labour
laboured	Sublist 01	labour
labouring	Sublist 01	labour
labours	Sublist 01	labour
legal	Sublist 01	legal
illegal	Sublist 01	legal
illegality	Sublist 01	legal
illegally	Sublist 01	legal
legality	Sublist 01	legal
legally	Sublist 01	legal
legislate	Sublist 01	legislate
legislated	Sublist 01	legislate
legislates	Sublist 01	legislate
legislating	Sublist 01	legislate
legislation	Sublist 01	legislate
legislative	Sublist 01	legislate
legislator	Sublist 01	legislate
legislators	Sublist 01	legislate
legislature	Sublist 01	legislate
major	Sublist 01	major
majorities	Sublist 01	major
majority	Sublist 01	major
method	Sublist 01	method
methodical	Sublist 01	method
methodological	Sublist 01	method
methodologies	Sublist 01	method
methodology	Sublist 01	method
methods	Sublist 01	method
occur	Sublist 01	occur
occurred	Sublist 01	occur
occurrence	Sublist 01	occur
occurrences	Sublist 01	occur
occurring	Sublist 01	occur
occurs	Sublist 01	occur
reoccur	Sublist 01	occur
reoccurred	Sublist 01	occur
reoccurring	Sublist 01	occur
