Lemma,Rank,SFI,U
,,,
be,1,87.95,62378.07
the,2,87.03,50498.86
and,4,84.92,31027.07
to,6,84.52,28336.61
a,7,84.24,26519.71
of,9,83.79,23918.35
you,3,83.68,23349.51
it,5,83.1,20435.84
in,15,82.59,18173.65
have,8,82.58,18117.94
that,12,81.8,15146
we,14,81.48,14058.04
they,13,81.39,13785.39
not,11,81.37,13700.98
do,10,81.3,13493.91
he,16,80.31,10738.3
this,21,79.55,9015.97
for,27,79.28,8469.82
on,23,78.93,7812.92
but,22,78.41,6930.22
know,17,78.25,6683
go,19,78.16,6548.15
so,20,77.86,6112.59
with,38,77.82,6052.93
say,32,77.8,6023.85
get,18,77.67,5853.25
think,28,77.47,5590.98
I,25,77.43,5527.54
there,30,77.19,5234.66
will,31,77.06,5081.15
at,40,76.98,4993.73
as,44,76.96,4966
what,34,76.88,4873.06
about,42,76.84,4829.99
she,33,76.28,4243.7
like,29,76.22,4190.62
just,35,76.06,4037.55
one,37,76.02,4001.88
if,39,75.92,3904.41
or,43,75.9,3887.1
well,36,75.85,3847.5
all,41,75.76,3770.24
from,64,75.75,3759.43
people,66,75.33,3415.01
would,45,75.03,3185.9
can,49,74.82,3030.91
out,53,74.75,2983.09
because,47,74.65,2915.47
up,51,74.59,2876.07
who,78,74.52,2828.51
when,57,74.52,2832.66
now,61,74.4,2751.82
some,62,74.26,2666.38
very,67,74.19,2624.72
see,54,74.19,2625.08
right,48,74.19,2627.03
come,60,74.05,2542.3
thing,55,73.99,2508.68
more,77,73.91,2462.78
make,69,73.88,2442.42
time,65,73.79,2391.39
want,59,73.76,2375.4
by,87,73.71,2351.36
no,50,73.7,2345.09
really,58,73.63,2308.57
then,46,73.55,2265.59
year,86,73.39,2183.84
good,63,73.39,2180.9
mean,52,73.38,2178.91
take,72,73.24,2110.76
here,73,72.93,1962.44
other,79,72.85,1927.94
which,74,72.78,1895.91
look,70,72.75,1882.7
work,76,72.31,1702.31
could,75,72.29,1692.45
way,90,72.25,1679.82
how,84,72.23,1669.39
talk,99,72.17,1647.55
lot,89,72.06,1607.02
where,81,72.04,1600.35
two,71,72,1583.73
back,85,71.94,1562.14
much,96,71.91,1550.87
yes,56,71.82,1521.78
use,82,71.3,1349.49
into,107,71.26,1336.88
something,83,71.19,1314.62
over,104,71.15,1303.89
give,93,71.08,1282.8
pause,24,71.07,1278.01
call,118,71.06,1276.6
any,88,71.03,1266.46
than,114,71.02,1265.58
day,106,70.98,1254.33
kind,100,70.98,1253.04
first,113,70.9,1229.54
unclear,26,70.88,1224.37
tell,101,70.7,1174.38
down,92,70.69,1171.37
need,98,70.64,1157.93
also,142,70.61,1151.51
try,109,70.58,1143.61
put,91,70.45,1108.95
only,102,70.3,1070.69
actually,97,70.15,1035.68
should,103,70.03,1006.37
last,120,70.02,1004.44
even,126,69.99,997.41
three,95,69.95,988.88
let,117,69.94,986.75
find,124,69.92,981.61
little,105,69.91,979.22
sort,94,69.89,975.83
why,110,69.84,963.02
today,187,69.75,943.02
new,177,69.75,944.32
many,156,69.69,931.8
still,123,69.51,892.29
after,157,69.46,882.93
thank,158,69.43,876.35
through,128,69.41,872.25
start,121,69.36,863.3
question,141,69.35,861.46
point,129,69.35,861.68
most,184,69.33,857.84
happen,148,69.25,842.23
off,112,69.2,831.66
big,138,69.18,828.24
feel,139,69.18,828.73
before,133,69.09,811.75
week,132,69,794.17
too,115,69,795.11
problem,135,68.92,779.01
hear,163,68.9,776.63
part,179,68.85,767.62
ask,140,68.78,754.37
country,276,68.72,745.25
long,145,68.69,739.85
issue,202,68.59,722.37
different,143,68.53,712.54
yeah,68,68.53,713.64
change,174,68.52,710.65
again,134,68.46,700.88
same,137,68.44,697.62
another,151,68.42,694.44
great,195,68.4,692.54
might,127,68.36,685.22
number,162,68.32,678.71
man,198,68.26,670.02
show,225,68.21,662.23
never,136,68.2,660.35
