token,freq
dan,2690
-nya,2621
di,2354
saya,2184
pelayanan,1505
yang,1346
dokter,1327
sangat,1182
yg,1086
pasien,1078
tidak,1001
nya,996
baik,975
untuk,950
ada,890
ke,824
sakit,824
ramah,779
perawat,759
rs,758
ini,755
dengan,674
rumah,626
dari,624
juga,515
jam,502
sudah,485
bisa,476
tapi,451
ga,440
harus,439
lagi,429
bpjs,425
karena,390
rawat,389
suster,371
itu,370
bagus,364
mau,349
lebih,346
semua,333
ruangan,316
sama,314
lama,304
sekali,303
banyak,303
ruang,288
anak,281
kami,279
nn,277
kasih,260
lain,257
cepat,256
dr,255
hari,253
aja,245
memuaskan,242
hanya,240
sampai,236
santosa,229
sy,226
ya,224
baru,222
banget,222
orang,220
kamar,220
apa,219
kurang,219
igd,218
inap,217
terimakasih,216
jadi,216
bagian,215
bandung,215
malah,213
selalu,213
nunggu,213
gak,212
padahal,212
masuk,211
buat,211
obat,211
timur,209
tempat,206
the,203
datang,203
nyaman,201
atau,201
terima,199
ibu,199
fasilitas,198
operasi,197
kalau,196
bersih,195
udah,193
petugas,192
semoga,190
parkir,190
masih,190
saja,189
pun,187
dalam,186
saat,185
setelah,179
antrian,176
keluarga,175
selama,174
pada,173
tolong,170
waktu,169
dirawat,168
bukan,166
cukup,165
satu,164
menunggu,163
d,160
seperti,157
kita,155
pendaftaran,154
mereka,153
kalo,151
rshs,151
disini,150
kali,150
langsung,149
terbaik,148
bilang,142
pernah,140
berobat,139
belum,139
alhamdulillah,138
satpam,137
ruby,137
hasil,136
buruk,135
oleh,135
terus,133
tindakan,133
pulang,132
administrasi,132
cuma,132
tp,132
bayar,131
sampe,128
perawatan,128
pagi,126
kata,125
barat,125
umum,124
pihak,122
safir,122
poli,119
pake,118
sini,115
gedung,115
pengalaman,113
membantu,113
daftar,113
akan,112
dapat,111
jalan,111
kelas,109
pas,109
penanganan,107
kepada,107
dulu,107
mungkin,106
and,105
salah,105
tau,105
lalu,104
jg,102
dia,102
mohon,99
beberapa,99
jelas,98
utk,98
tdk,98
pertama,97
terutama,97
jangan,97
minta,97
karna,96
tanpa,95
layanan,93
atas,92
proses,91
medis,91
advent,90
sih,90
staf,89
lengkap,89
para,88
awal,88
luar,87
sehat,87
anda,86
tunggu,86
semuanya,86
ketika,86
bgt,85
dgn,85
mulai,85
borromeus,85
ternyata,84
memberikan,84
sistem,83
adalah,83
balik,83
tetapi,82
lantai,82
nomor,81
cek,81
hospital,81
sopan,81
kecewa,81
staff,80
sekarang,80
penuh,80
namun,80
kan,80
memang,79
kondisi,79
kenapa,79
antri,78
nama,78
akhirnya,77
biasa,77
kesehatan,77
sedang,77
ayah,76
keluar,76
sendiri,76
bahkan,76
profesional,75
parah,75
perlu,75
susah,75
melayani,75
kaya,74
asuransi,74
paling,74
to,74
apalagi,73
hal,73
jauh,73
no,73
secara,70
jika,70
setiap,70
pakai,69
krn,69
bulan,69
jaga,69
disuruh,68
i,68
informasi,68
online,68
rujukan,68
jadwal,68
farmasi,67
lab,67
darah,67
masa,66
hampir,65
udh,65
org,65
kerja,65
toilet,65
malam,64
kesini,64
hati,64
kontrol,64
enak,63
service,63
tetap,63
lah,63
…,63
lambat,63
disana,63
tanya,62
tanggap,62
pemeriksaan,62
terlalu,61
tgl,61
mendapatkan,61
tanggal,61
lg,61
makanan,61
sehingga,61
security,61
menjadi,60
klo,60
biaya,60
punya,59
sabar,59
penyakit,58
menggunakan,58
a,58
bedah,58
is,58
jawab,57
bawa,57
begitu,57
sesuai,57
ambil,57
tahun,56
sebagai,56
puas,56
bintang,56
depan,56
kota,55
agak,55
ugd,55
jd,55
periksa,55
besar,55
telpon,55
dipanggil,55
dilakukan,54
minggu,54
jutek,54
luas,54
menit,54
jelek,53
