token,freq
の,643
。,491
に,435
、,430
た,347
は,341
を,331
て,329
が,322
で,279
と,271
し,222
も,135
れ,84
いる,80
さ,78
から,70
な,69
い,69
年,68
する,63
ある,62
・,55
こと,48
ます,43
」,42
ない,41
「,41
や,40
です,39
月,38
なっ,37
だ,35
日,34
いう,34
お,32
的,31
ため,29
など,29
まし,27
よう,27
者,27
その,26
この,26
れる,24
か,24
人,22
だっ,22
あっ,22
”,20
“,20
日本,20
後,20
まで,19
あり,17
られ,17
中,16
より,15
家,15
また,15
なる,14
第,14
これ,14
もの,14
時,13
へ,13
方,13
ん,12
会,12
『,11
たい,11
現在,11
ず,11
だけ,11
』,11
おり,11
多い,11
受け,10
せ,10
氏,10
彼,10
数,10
よる,10
それ,10
なく,10
市,10
以上,9
教会,9
さん,9
つい,9
でし,9
所,9
東京,9
存在,9
軍,9
女性,9
利用,9
性,9
前,9
活動,9
間,9
上,9
同,9
私,9
行っ,8
時代,8
長,8
大きな,8
大学,8
なり,8
世,8
店,8
つ,8
参加,8
感じ,8
手,8
でき,8
車,8
よっ,7
ませ,7
一,7
可能,7
とても,7
放送,7
統一,7
内,7
名,7
士,7
見,7
番組,7
場合,7
円,7
評価,7
大,7
き,7
信者,7
戦争,6
行う,6
登場,6
仕事,6
北朝鮮,6
設置,6
問題,6
作品,6
られる,6
施設,6
大会,6
とも,6
幸福,6
弁護,6
しかし,6
県,6
駅,6
二,6
今,6
ここ,6
自分,6
代,6
関係,6
期,6
ら,6
部,6
対応,6
館,6
事,6
生,6
f,6
目,6
多く,6
思っ,6
実際,6
治療,6
対し,6
科,6
一方,6
いい,6
議員,6
使用,6
話,6
語,6
ながら,6
位,6
持っ,6
学校,6
たち,6
用,5
次,5
大阪,5
脳,5
中心,5
重要,5
社会,5
いく,5
国,5
時間,5
元,5
今回,5
官,5
声,5
回,5
とっ,5
専門,5
なかっ,5
高い,5
けど,5
場,5
バス,5
気,5
かけ,5
等,5
知ら,5
戦,5
最も,5
指定,5
予選,4
使い,4
以下,4
コーナー,4
町,4
シリーズ,4
獲得,4
室,4
収容,4
音楽,4
主義,4
条件,4
まだ,4
生産,4
物,4
両,4
向け,4
ば,4
ところ,4
理由,4
患者,4
彼女,4
くれ,4
途中,4
必要,4
式,4
できる,4
車両,4
以降,4
まず,4
情報,4
ゲーム,4
党,4
州,4
m,4
万,4
バンド,4
社,4
本,4
地域,4
地,4
事務,4
行わ,4
行き,4
非常,4
権,4
復活,4
とき,4
近く,4
事件,4
サービス,4
会社,4
選手,4
同じ,4
対象,4
支援,4
命名,4
所有,4
かつて,4
学生,4
病院,4
科学,4
ホーム,4
同社,4
省,4
そして,4
高等,4
出来,4
終了,4
教育,4
足,4
開始,4
ホール,4
院,4
安心,4
ぶり,4
別,4
味,4
議会,4
状況,4
組織,4
ほか,4
所属,4
憲法,4
師,4
軍団,4
得,4
先生,4
そこ,4
最初,4
金,4
運営,4
分,4
おら,4
務め,4
無い,4
一部,4
紹介,4
教授,4
教団,4
員,4
回線,4
持つ,4
効果,4
当初,4
売却,4
cm,4
付き,4
被告,4
部屋,4
映像,4
犯行,3
珈琲,3
内容,3
キャラクター,3
にて,3
関する,3
今後,3
募集,3
くる,3
経,3
認め,3
コース,3
始め,3
外,3
ツアー,3
雰囲気,3
こちら,3
わかり,3
楽天,3
大き,3
貝類,3
主な,3
超,3
パターン,3
学,3
意識,3
グアム,3
大型,3
男性,3
株式,3
いずれ,3
分かり,3
界,3
部分,3
委員,3
および,3
全員,3
園,3
公,3
診察,3
なら,3
きれい,3
くれる,3
組,3
協議,3
でしょう,3
野球,3
販売,3
さらに,3
積極,3
ヨーロッパ,3
web,3
法人,3
場所,3
試合,3
全く,3
経営,3
やはり,3
良かっ,3
広告,3
小説,3
ゲル,3
つつ,3
昨年,3
結成,3
フォーマット,3
信じ,3
代表,3
ホテル,3
バンク,3
アメリカ,3
度,3
データ,3
しか,3
主張,3
以来,3
億,3
化,3
看護,3
作業,3
ほど,3
共,3
ステージ,3
ディスク,3
しまう,3
廃止,3
全体,3
初,3
初めて,3
願い,3
力,3
住民,3
側,3
雪,3
生まれ,3
経済,3
スカイ,3
新宿,3
来,3
線,3
昭和,3
強く,3
挑戦,3
担当,3
姿,3
国民,3
人間,3
一般,3
食事,3
価格,3
結婚,3
ヶ月,3
入り,3
トラック,3
色,3
曲,3
クラブ,3
導入,3
状態,3
案,3
自ら,3
講演,3
分離,3
続い,3
風,3
労働,3
悪い,3
丁寧,3
劇,3
程度,3
出し,3
新星,3
企画,3
再び,3
他,3
熊田,3
増え,3
そう,3
吉田,3
コール,3
方法,3
特に,3
十,3
幼い,3
たら,3
同年,3
小さな,3
支配,3
大きく,3
公式,3
明らか,3
カメラ,3
文字,3
関連,3
って,3
個,3
東部,3
満足,3
役,3
最終,3
いっ,3
用い,3
ナイト,3
回路,3
同僚,3
小原,3
ドラマ,3
保有,3
世界,3
広い,3
韓国,3
以外,3
親切,3
病気,3
製品,3
よく,3
約,3
言い,3
スタジオ,3
システム,3
テレビ,3
最後,3
もらい,3
点,3
やすく,3
番号,3
学会,3
藍染,2
悲観,2
タイガトロン,2
午前,2
外科,2
都,2
受付,2
まま,2
本部,2
収入,2
操作,2
人気,2
霊感,2
藩,2
しよう,2
傷,2
スタンド,2
薬学,2
パッケージ,2
違う,2
イー,2
カ国,2
年度,2
オート,2
危険,2
高校,2
拉致,2
際,2
済美,2
過ぎ,2
よ,2
魚,2
不思議,2
料理,2
撮影,2
非難,2
一時,2
幼児,2
ばかり,2
警視,2
入っ,2
やすい,2
てる,2
大戦,2
坂本,2
ちなみ,2
東,2
要求,2
火薬,2
変化,2
症状,2
もらえ,2
団体,2
沖縄,2
中国,2
マラソン,2
