token,freq
있다,346
수,258
이,216
있는,200
한,134
등,130
그,123
좀,109
고,104
것으로,96
것,84
정말,83
대한,82
는,82
중,80
위해,80
가는,73
및,72
너무,71
의,70
더,70
알려줘,69
때,69
또,66
지난,66
를,63
다른,62
안,62
통해,61
하는,60
•,60
잘,59
을,59
가,58
많은,57
또한,56
함께,56
현재,55
그는,55
이후,55
한다,55
많이,54
특히,54
후,54
같은,53
가장,53
게,53
것이,52
된다,52
길,52
보여줘,52
했다,51
전,51
두,51
때문에,51
것이다,49
어떻게,49
그러나,49
따라,49
몇,48
좋은,45
맛이,45
하지만,44
에,43
것을,43
말했다,43
밝혔다,42
은,42
로,41
이어,41
며,40
그리고,40
등을,40
큰,40
경우,40
한편,39
모두,39
다시,39
있어,39
대해,38
이라고,37
있으며,36
맛있어요,36
좋아요,36
직접,36
최근,36
얼마나,36
있고,36
위한,35
이번,34
할,34
그의,33
것은,33
없는,33
의해,33
《,32
맛도,32
다,32
뒤,32
》,32
하고,32
이날,31
거,30
다양한,30
가운데,30
이는,30
이에,30
등의,30
중국,30
같아요,29
되었다,29
당시,29
맥도날드까지,29
없다,29
있었다,29
서울,29
갈,28
대전,28
참,28
이를,28
지난해,28
동안,28
매우,28
없이,28
아주,28
따르면,28
가까운,27
않고,27
역시,27
또는,27
일본,27
자주,27
에서,27
꼭,27
않은,27
이런,27
지금,26
먹을,26
해,26
우리,26
될,26
원,25
등이,25
진짜,25
주,25
타고,24
받고,24
있어서,24
미국,24
세계,24
여러,23
오는,23
넘,23
제일,23
여기서,23
좋고,23
받았다,23
근처,23
총,23
곳,23
으로,22
번,22
사진,22
모든,22
친절하시고,22
가지,22
내,21
있습니다,21
신세계,21
대전까지,21
예정이다,21
약,21
오후,21
좋습니다,21
영화,21
먹고,21
여기,21
된,21
있을,21
볼,20
첫,20
관련,20
주요,20
친절하고,20
듯,20
경기,20
6월,20
김,20
보고,20
관계자는,19
지역,19
2010년,19
맛있고,19
완전,19
바로,19
음식,19
찾아줘,19
같다,19
자신의,19
최고의,19
이상,19
제대로,19
2009년,18
크게,18
많고,18
사람,18
이러한,18
아니라,18
비해,18
가격도,18
과,18
대한민국,18
한국,18
마세요,18
맛,18
새로운,18
3월,18
거의,17
못,17
국내,17
데,17
라는,17
되고,17
최고,17
않는,17
라고,17
되는,17
